date,Close,High,Low,Open,Volume,sentiment,goldstein_mean
2017-01-02,8179.5,8212.0,8133.7998046875,8210.099609375,118300,-0.0909090909090909,-0.0052945069490403
2017-01-03,8192.25,8219.099609375,8148.60009765625,8196.0498046875,127300,-0.1044776119402985,-0.1205306543019062
2017-01-04,8190.5,8218.5,8180.89990234375,8202.650390625,132400,-0.019108280254777,-0.1119253208868144
2017-01-05,8273.7998046875,8282.650390625,8223.7001953125,8226.650390625,159100,-0.1320754716981132,0.1629385448551919
2017-01-06,8243.7998046875,8306.849609375,8233.25,8281.849609375,139400,-0.2676056338028169,-0.297546346782988
2017-01-09,8236.0498046875,8263.0,8227.75,8259.349609375,99100,-0.1857142857142857,0.3927227722772277
2017-01-10,8288.599609375,8293.7998046875,8261.0,8262.7001953125,142900,0.0612244897959183,0.3236822383212591
2017-01-11,8380.650390625,8389.0,8322.25,8327.7998046875,186500,-0.1346153846153846,0.320005480953686
2017-01-12,8407.2001953125,8417.2001953125,8382.2998046875,8391.0498046875,172600,-0.1515151515151515,0.4369325468068735
2017-01-13,8400.349609375,8461.0498046875,8373.150390625,8457.650390625,185300,-0.1240875912408759,-0.1446544276457883
2017-01-16,8412.7998046875,8426.7001953125,8374.400390625,8390.9501953125,124100,-0.2692307692307692,0.4716205321150228
2017-01-17,8398.0,8440.900390625,8378.2998046875,8415.0498046875,122000,-0.2407407407407407,0.0192582025677603
2017-01-18,8417.0,8460.2998046875,8397.400390625,8403.849609375,163800,-0.1586206896551724,0.197943768359211
2017-01-19,8435.099609375,8445.150390625,8404.0498046875,8418.400390625,165900,-0.0759493670886076,-0.090645828545162
2017-01-20,8349.349609375,8423.650390625,8340.9501953125,8404.349609375,202600,-0.1136363636363636,0.0512361914781693
2017-01-23,8391.5,8404.150390625,8327.2001953125,8329.599609375,195000,-0.1818181818181818,-0.2034920634920634
2017-01-24,8475.7998046875,8480.9501953125,8398.150390625,8407.0498046875,179200,-0.1323529411764706,0.0933129926264937
2017-01-25,8602.75,8612.599609375,8493.9501953125,8499.4501953125,292500,-0.0416666666666666,0.478117048346056
2017-01-27,8641.25,8672.7001953125,8606.900390625,8610.5,275400,-0.0266666666666666,0.3234432234432234
2017-01-30,8632.75,8662.599609375,8617.75,8635.5498046875,304700,-0.2244897959183673,-0.7990687138182733
2017-01-31,8561.2998046875,8631.75,8552.400390625,8629.4501953125,521000,-0.2,-0.8938717216307454
2017-02-01,8716.400390625,8722.400390625,8537.5,8570.349609375,327700,0.0672268907563025,-0.0032739059967585
2017-02-02,8734.25,8757.599609375,8685.7998046875,8724.75,283500,0.0926829268292682,-0.297957957957958
2017-02-03,8740.9501953125,8748.25,8707.75,8735.150390625,191000,0.1133004926108374,-0.2557229788467111
2017-02-06,8801.0498046875,8814.099609375,8770.2001953125,8785.4501953125,194400,-0.057471264367816,0.1731476750127746
2017-02-07,8768.2998046875,8809.2998046875,8741.0498046875,8805.7001953125,226300,-0.3216374269005848,0.1716121758737316
2017-02-08,8769.0498046875,8791.25,8715.0,8774.5498046875,218700,-0.2075471698113207,-0.0732806928171166
2017-02-09,8778.400390625,8821.400390625,8724.099609375,8795.5498046875,187500,-0.2261306532663316,0.012340316811446
2017-02-10,8793.5498046875,8822.099609375,8771.2001953125,8812.349609375,225900,-0.2033898305084746,0.0344524793388429
2017-02-13,8805.0498046875,8826.900390625,8754.2001953125,8819.7998046875,204900,-0.1325301204819277,-0.1631830773105011
2017-02-14,8792.2998046875,8820.4501953125,8772.5,8819.900390625,188300,-0.2439024390243902,0.111090573012939
2017-02-15,8724.7001953125,8807.900390625,8712.849609375,8778.9501953125,216100,-0.217391304347826,-0.0751554339716488
2017-02-16,8778.0,8783.9501953125,8719.599609375,8739.0,184600,-0.1333333333333333,0.0650317227916056
2017-02-17,8821.7001953125,8896.4501953125,8804.25,8883.7001953125,298300,-0.1366120218579235,0.272904953145917
2017-02-20,8879.2001953125,8886.25,8809.7998046875,8818.5498046875,167800,-0.0697674418604651,-0.0638971315529179
2017-02-21,8907.849609375,8920.7998046875,8860.9501953125,8890.75,175700,-0.0683229813664596,-0.447343594836147
2017-02-22,8926.900390625,8960.75,8905.25,8931.599609375,247100,0.0314465408805031,0.1186561653950283
2017-02-23,8939.5,8982.150390625,8927.5498046875,8956.400390625,377200,-0.0821917808219178,0.084189349112426
2017-02-27,8896.7001953125,8951.7998046875,8888.650390625,8943.7001953125,189900,-0.1079136690647482,-0.0653741664608545
2017-02-28,8879.599609375,8914.75,8867.599609375,8898.9501953125,293600,-0.2604166666666667,0.2090723520072578
2017-03-01,8945.7998046875,8960.7998046875,8898.599609375,8904.400390625,205900,-0.0917874396135265,0.4216348108987393
2017-03-02,8899.75,8992.5,8879.7998046875,8982.849609375,218800,-0.1937984496124031,-0.0520922956589753
2017-03-03,8897.5498046875,8907.099609375,8860.099609375,8883.5,202600,-0.1901840490797546,0.2086776859504132
2017-03-06,8963.4501953125,8967.7998046875,8914.0,8915.099609375,174800,-0.0348837209302325,-0.300787083753784
2017-03-07,8946.900390625,8977.849609375,8932.7998046875,8977.75,173400,-0.0212765957446808,-0.5865413057257554
2017-03-08,8924.2998046875,8957.0498046875,8891.9501953125,8950.7001953125,177800,-0.136986301369863,-0.7804218718001229
2017-03-09,8927.0,8945.7998046875,8899.5,8914.5,171500,-0.1847133757961783,-0.6501101321585903
2017-03-10,8934.5498046875,8975.7001953125,8903.9501953125,8953.7001953125,152700,-0.3228346456692913,-0.2514578005115089
2017-03-14,9087.0,9122.75,9060.5,9091.650390625,270300,-0.1481481481481481,0.0988187842120426
2017-03-15,9084.7998046875,9106.5498046875,9075.5,9086.849609375,240600,-0.079646017699115,-0.1921149594694178
2017-03-16,9153.7001953125,9158.4501953125,9128.5498046875,9129.650390625,208600,0.0648148148148148,0.0081796116504854
2017-03-17,9160.0498046875,9218.400390625,9147.599609375,9207.7998046875,286700,0.2340425531914893,0.4278209227957971
2017-03-20,9126.849609375,9167.599609375,9116.2998046875,9166.9501953125,332100,-0.1630434782608695,0.2346232701178882
2017-03-21,9121.5,9147.75,9087.2001953125,9133.9501953125,247700,-0.1125,0.5277552856500225
2017-03-22,9030.4501953125,9072.900390625,9019.2998046875,9047.2001953125,232300,-0.1428571428571428,0.0220510229856024
2017-03-23,9086.2998046875,9099.0498046875,9048.599609375,9048.75,191800,0.0526315789473684,-0.1911041339612768
2017-03-24,9108.0,9133.5498046875,9089.400390625,9104.0,203700,-0.1370558375634517,-0.0083268482490272
2017-03-27,9045.2001953125,9094.849609375,9024.650390625,9093.4501953125,202700,-0.2151898734177215,-0.2762755102040816
2017-03-28,9100.7998046875,9110.400390625,9079.7998046875,9081.5,183300,-0.25,-0.2917061611374408
2017-03-29,9143.7998046875,9153.150390625,9109.099609375,9128.7001953125,243400,-0.1219512195121951,0.088873958613276
2017-03-30,9173.75,9183.150390625,9136.349609375,9142.599609375,323400,0.0880829015544041,0.0598203144497129
2017-03-31,9173.75,9191.7001953125,9152.099609375,9158.900390625,190900,0.0545454545454545,-0.0392307692307692
2017-04-03,9237.849609375,9245.349609375,9192.400390625,9220.599609375,139100,-0.0412371134020618,-0.5928083059002279
2017-04-05,9265.150390625,9273.900390625,9215.400390625,9264.400390625,184800,-0.0248756218905472,0.2983212870132898
2017-04-06,9261.9501953125,9267.9501953125,9218.849609375,9245.7998046875,186100,-0.0062111801242236,0.0952466367713004
2017-04-07,9198.2998046875,9250.5,9188.099609375,9223.7001953125,190000,-0.0326086956521739,0.2684120798830979
